PLAYER_NAME,SHOT_ZONE_BASIC,ATTEMPTS,MAKES,SHOOTING%,ATTEMPT%
Stephen Curry,Above the Break 3,8235,3448,0.41870066788099575,0.44870048493434317
Stephen Curry,Mid-Range,3563,1643,0.4611282626999719,0.19413719827821066
Stephen Curry,Restricted Area,3273,2067,0.6315307057745188,0.17833596687190106
Stephen Curry,In The Paint (Non-RA),1935,881,0.45529715762273903,0.10543235438347955
Stephen Curry,Left Corner 3,715,339,0.47412587412587415,0.038958208467280556
Stephen Curry,Right Corner 3,523,262,0.5009560229445507,0.028496703536206616
Stephen Curry,Backcourt,109,6,0.05504587155963303,0.005939083528578434
Shaquille O'Neal,Restricted Area,7634,5561,0.728451663610165,0.5478292070326516
Shaquille O'Neal,In The Paint (Non-RA),4892,2116,0.43254292722812754,0.3510584858270542
Shaquille O'Neal,Mid-Range,1399,445,0.318084345961401,0.10039468963042698
Shaquille O'Neal,Above the Break 3,5,0,0.0,0.0003588087549336204
Shaquille O'Neal,Left Corner 3,0,0,0.0,0.0
Shaquille O'Neal,Right Corner 3,0,0,0.0,0.0
Shaquille O'Neal,Backcourt,5,0,0.0,0.0003588087549336204
Shai Gilgeous-Alexander,Restricted Area,2528,1620,0.6408227848101266,0.32113821138211385
Shai Gilgeous-Alexander,In The Paint (Non-RA),2223,1057,0.47548358074673863,0.28239329268292684
Shai Gilgeous-Alexander,Above the Break 3,1533,539,0.3515981735159817,0.19474085365853658
Shai Gilgeous-Alexander,Mid-Range,1393,652,0.4680545585068198,0.17695630081300814
Shai Gilgeous-Alexander,Left Corner 3,112,45,0.4017857142857143,0.014227642276422764
Shai Gilgeous-Alexander,Right Corner 3,80,30,0.375,0.01016260162601626
Shai Gilgeous-Alexander,Backcourt,3,0,0.0,0.00038109756097560977
Rudy Gobert,Restricted Area,5157,3705,0.7184409540430483,0.8667226890756302
Rudy Gobert,In The Paint (Non-RA),690,182,0.263768115942029,0.11596638655462185
Rudy Gobert,Mid-Range,87,16,0.1839080459770115,0.014621848739495798
Rudy Gobert,Backcourt,9,0,0.0,0.0015126050420168067
Rudy Gobert,Above the Break 3,6,0,0.0,0.0010084033613445378
Rudy Gobert,Left Corner 3,1,0,0.0,0.0001680672268907563
Rudy Gobert,Right Corner 3,0,0,0.0,0.0
LeBron James,Restricted Area,11713,8444,0.72090839238453,0.3830155979202773
LeBron James,Mid-Range,8065,3076,0.38140111593304404,0.2637258428435957
LeBron James,Above the Break 3,6364,2206,0.34663733500942806,0.20810307053399169
LeBron James,In The Paint (Non-RA),3484,1410,0.40470723306544204,0.11392694810503254
LeBron James,Right Corner 3,473,175,0.3699788583509514,0.015467120107256139
LeBron James,Left Corner 3,446,175,0.3923766816143498,0.014584218959484647
LeBron James,Backcourt,36,2,0.05555555555555555,0.0011772015303619895
Kobe Bryant,Mid-Range,10771,4376,0.40627611178163586,0.4111382548286129
Kobe Bryant,Restricted Area,6125,3822,0.624,0.2337964730132071
Kobe Bryant,Above the Break 3,4849,1602,0.3303773974015261,0.18509046492098633
Kobe Bryant,In The Paint (Non-RA),3817,1720,0.4506156667539953,0.145698144896557
Kobe Bryant,Right Corner 3,337,110,0.3264094955489614,0.012863577372318498
Kobe Bryant,Left Corner 3,244,86,0.3524590163934426,0.009313688067791434
Kobe Bryant,Backcourt,55,1,0.01818181818181818,0.0020993969005267577
Jeremy Lin,Restricted Area,1523,859,0.5640183847669075,0.3501954472292481
Jeremy Lin,Above the Break 3,1120,378,0.3375,0.257530466773971
Jeremy Lin,Mid-Range,877,339,0.3865450399087799,0.20165555300068982
Jeremy Lin,In The Paint (Non-RA),636,238,0.3742138364779874,0.14624051506093355
Jeremy Lin,Right Corner 3,107,37,0.34579439252336447,0.024603357093584733
Jeremy Lin,Left Corner 3,83,34,0.40963855421686746,0.019084847091285353
Jeremy Lin,Backcourt,3,0,0.0,0.0006898137502874224
Giannis Antetokounmpo,Restricted Area,7418,5390,0.7266109463467242,0.5428466886205635
Giannis Antetokounmpo,Mid-Range,2269,831,0.3662406346408109,0.16604463959019392
Giannis Antetokounmpo,In The Paint (Non-RA),2076,763,0.36753371868978807,0.15192096597145993
Giannis Antetokounmpo,Above the Break 3,1743,504,0.2891566265060241,0.12755214050493963
Giannis Antetokounmpo,Left Corner 3,76,20,0.2631578947368421,0.005561653860226857
Giannis Antetokounmpo,Right Corner 3,67,16,0.23880597014925373,0.004903036955726308
Giannis Antetokounmpo,Backcourt,16,0,0.0,0.0011708744968898647
DeAndre Jordan,Restricted Area,5132,3656,0.7123928293063133,0.8964192139737991
DeAndre Jordan,In The Paint (Non-RA),499,179,0.3587174348697395,0.08716157205240174
DeAndre Jordan,Mid-Range,81,19,0.2345679012345679,0.014148471615720524
DeAndre Jordan,Above the Break 3,12,2,0.16666666666666666,0.002096069868995633
DeAndre Jordan,Left Corner 3,0,0,0.0,0.0
DeAndre Jordan,Right Corner 3,1,0,0.0,0.00017467248908296942
Anthony Edwards,Above the Break 3,2664,976,0.3663663663663664,0.3717036416910841
Anthony Edwards,Restricted Area,2137,1362,0.6373420683200749,0.29817217803823076
Anthony Edwards,In The Paint (Non-RA),1023,393,0.3841642228739003,0.14273754709083297
Anthony Edwards,Mid-Range,967,338,0.34953464322647365,0.13492395702525464
Anthony Edwards,Left Corner 3,212,80,0.37735849056603776,0.029580019533975165
Anthony Edwards,Right Corner 3,141,51,0.3617021276595745,0.019673503557974047
Anthony Edwards,Backcourt,23,0,0.0,0.0032091530626482487
